feature,value,absolute_value
cat__route_short_name_40,2.8209184121811175,2.8209184121811175
num__is_weekend,-2.2219060182370756,2.2219060182370756
cat__route_short_name_71,1.8805056859227172,1.8805056859227172
num__hour_of_day,-1.8413868528177015,1.8413868528177015
cat__route_short_name_27,-1.188764690678191,1.188764690678191
num__is_rush_hour,1.0635127152217725,1.0635127152217725
cat__route_short_name_59,-1.0215157883159953,1.0215157883159953
cat__route_short_name_57,-0.9916031308514647,0.9916031308514647
cat__route_short_name_77,-0.9425467531420348,0.9425467531420348
cat__route_short_name_64B,-0.9070478735052859,0.9070478735052859
cat__route_short_name_73,-0.8563101390670137,0.8563101390670137
cat__route_short_name_61,0.803684178471326,0.803684178471326
cat__route_short_name_25,0.8016811837499179,0.8016811837499179
cat__route_short_name_68,-0.7696377654904285,0.7696377654904285
cat__route_short_name_26,0.6855552326502186,0.6855552326502186
cat__route_short_name_21,-0.6487702568605932,0.6487702568605932
cat__route_short_name_56,0.6322794032068338,0.6322794032068338
num__route_stop_count,0.5120741629405418,0.5120741629405418
cat__occupancy_label_FULL,0.5118509900480107,0.5118509900480107
cat__route_short_name_Rapid 500,-0.5041979182008147,0.5041979182008147
cat__route_short_name_72,0.4853508472563051,0.4853508472563051
cat__route_short_name_66,0.3868623384996256,0.3868623384996256
cat__occupancy_label_FEW_SEATS_AVAILABLE,-0.38657495480998444,0.38657495480998444
cat__route_short_name_60,-0.38176095404687593,0.38176095404687593
cat__route_short_name_22,0.37871091496852605,0.37871091496852605
cat__route_short_name_70,0.36104736077327765,0.36104736077327765
cat__route_short_name_Rapid 522,0.35346327768799696,0.35346327768799696
cat__route_short_name_47,-0.34810335309433676,0.34810335309433676
cat__route_short_name_Rapid 568,-0.3349949644426983,0.3349949644426983
cat__route_short_name_20,-0.3109888438500266,0.3109888438500266
cat__route_short_name_85,-0.30718292957870247,0.30718292957870247
cat__route_short_name_39,-0.29278751216173654,0.29278751216173654
cat__route_short_name_Rapid 523,0.2506296065680037,0.2506296065680037
cat__route_short_name_23,0.193164993745469,0.193164993745469
num__stop_sequence,0.19259806698474366,0.19259806698474366
num__speed_mph,0.17608555878540982,0.17608555878540982
cat__route_short_name_83,-0.17251929592952944,0.17251929592952944
cat__occupancy_label_EMPTY,-0.16330731779072405,0.16330731779072405
num__direction_id,0.14500362077011109,0.14500362077011109
cat__route_short_name_86,-0.1403655091275157,0.1403655091275157
cat__route_short_name_55,0.12056470465957696,0.12056470465957696
num__trip_length,-0.11495095280446313,0.11495095280446313
cat__route_short_name_84,-0.08873074516941465,0.08873074516941465
cat__current_status_name_INCOMING_AT,-0.05984112193590118,0.05984112193590118
cat__current_status_name_IN_TRANSIT_TO,0.021809839383201475,0.021809839383201475
cat__route_short_name_64A,0.015379000619050018,0.015379000619050018
num__stop_position_pct,0.014497727158996141,0.014497727158996141
