feature,corr_with_target,abs_corr
sunday,0.3593294408461737,0.3593294408461737
end_date_dayofweek,0.30908563501928443,0.30908563501928443
tmin,0.28988342167851205,0.28988342167851205
start_date_dayofweek,0.23482816455768507,0.23482816455768507
wx_date_dayofweek,0.23482816455768507,0.23482816455768507
tmax,0.23457240969212706,0.23457240969212706
wednesday,-0.19495071260916402,0.19495071260916402
friday,-0.1942991543555582,0.1942991543555582
tuesday,-0.1942991543555582,0.1942991543555582
thursday,-0.1942991543555582,0.1942991543555582
monday,-0.1942991543555582,0.1942991543555582
saturday,-0.14199045856176606,0.14199045856176606
direction_id,0.07270768712447302,0.07270768712447302
temp_range,0.0358457243112467,0.0358457243112467
speed_mph,-0.03339448863383369,0.03339448863383369
bikes_allowed,-0.012835289081240509,0.012835289081240509
wheelchair_accessible,-0.012835289081240509,0.012835289081240509
has_exception,-0.012835289081240436,0.012835289081240436
stop_id,-0.012535140119807678,0.012535140119807678
service_id,-0.011918607263656171,0.011918607263656171
exception_added_count,-0.009068453126375149,0.009068453126375149
exception_removed_count,-0.009068453126375147,0.009068453126375147
