stop_id,mean_late_minutes,max_late_minutes,late_rate,observations,mean_speed,cluster_id,severity_rank,stop_name,stop_lat,stop_lon
60494,13.275,26.55,0.5,2,17.685,1,1,El Camino & Castro,37.386201,-122.08449
60694,8.525,13.37,0.5,2,0.005,1,1,Showers & California,37.402558,-122.106785
60501,6.9875,15.6,0.5,4,15.85,1,1,El Camino & San Antonio,37.401909,-122.114499
60457,5.199999999999999,6.02,0.5,2,24.84,1,1,The Alameda & Portola,37.344724,-121.932449
60815,4.333333333333333,10.37,0.3333333333333333,3,14.296666666666667,1,1,Bascom & Fruitdale,37.311054,-121.931625
60500,4.2,16.8,0.25,4,24.2,1,1,El Camino & Showers,37.399736,-122.110435
60431,3.975,7.95,0.5,2,15.0,1,1,Santa Clara & 24th,37.346982,-121.86802
65220,2.73,5.08,0.5,2,4.305,1,1,Main & Great Mall Pkwy,37.413387,-121.901835
60348,2.55,5.1,0.5,2,25.21,1,1,El Camino & Jordan,37.398205,-122.10783
60697,2.183333333333333,6.55,0.3333333333333333,3,2.01,1,1,Stelling & Stevens Creek,37.321797,-122.041613
65805,1.8099999999999998,5.43,0.3333333333333333,3,5.666666666666667,1,1,Eastridge Transit Center (Bay 11),37.327649,-121.811316
